category,wfa
Adult Topics,TRUE
Anonymizers,TRUE
Anonymizing Utilities,TRUE
Browser Exploits,TRUE
Discrimination,TRUE
Extreme,TRUE
Gambling,TRUE
Gambling Related,TRUE
Gruesome Content,TRUE
Incidental Nudity,TRUE
Malicious Downloads,TRUE
Malicious Sites,TRUE
Nudity,TRUE
P2P/File Sharing,TRUE
Parked Domain,TRUE
Phishing,TRUE
Pornography,TRUE
Potential Criminal Activities,TRUE
Potential Hacking/Computer Crime,TRUE
Potential Illegal Software,TRUE
Profanity,TRUE
Provocative Attire,TRUE
PUPs,TRUE
Remote Access,TRUE
Residential IP Addresses,TRUE
Sexual Materials,TRUE
Spam URLs,TRUE
Spyware/Adware/Keyloggers,TRUE
Violence,TRUE
Illegal UK,TRUE
